namespace,name,func,author,scope,usage,description,parameters
conditions - queries you may call from campaign script,SettlementRoadBuildingQueueIdleDespiteCash,008A47C0,Ed,,SettlementRoadBuildingQueueIdleDespiteCash(),Is the settlements's road building queue empty even though the faction can afford to build the cheapest building?,none
conditions - queries you may call from campaign script,SlotBuildingQueueIdleDespiteCash,008A4850,Ed,,SlotBuildingQueueIdleDespiteCash(),Is the slot's building queue empty even though the faction can afford to build the cheapest building?,none
conditions - queries you may call from campaign script,SlotIsAlliedCampaign,008A48D0,Luke,,SlotIsAlliedCampaign(),Does the slot belong to a faction allied to the player faction?,none
conditions - queries you may call from campaign script,SlotIsLocal,008A4950,Ed,,SlotIsLocal(),Does the slot belong to the player faction?,none
conditions - queries you may call from campaign script,SlotName,008A49D0,Ed,,"SlotName(""port:england:portsmouth"")",Returns if the passed slot name is equal to the slot's name,The name of the slot to check for
conditions - queries you may call from campaign script,SlotType,008A4AA0,Ed,,"SlotType(""wheat"")",Is the slot's type from the slots table equal to the parameter?,The slot type (key from the slots table)
conditions - queries you may call from campaign script,SupportCostsPercentage,008A4B50,Luke,,SupportCostsPercentage(),The percentage of outgoings used for upkeep in the recent turns for the given faction,none
conditions - queries you may call from campaign script,TargetArmyGreaterCombatStrength,008A4C30,Ed,,TargetArmyGreaterCombatStrength(),The does the target army have greater combat strength than the character?,None
conditions - queries you may call from campaign script,TargetCharacterIsAlliedCampaign,008A4CB0,Ed,,TargetCharacterIsAlliedCampaign(),The target character is allied to the character?,None
conditions - queries you may call from campaign script,TargetCharacterIsEnemyCampaign,008A4D40,Ed,,TargetCharacterIsEnemyCampaign(),The target character is an enemy of the character?,None
conditions - queries you may call from campaign script,TargetInStrikingRangeOfEnemy,008A4DD0,Ed,,CharacterIsEnemy(),The character is an enemy of the local faction?,None
conditions - queries you may call from campaign script,TaxCollectionLimited,008A4E70,Paul,,TaxCollectionLimited(),Are all the factions government building at the maximum level (and thus impossible to upgrade)?,none
conditions - queries you may call from campaign script,TaxLevel,008A4F50,Paul,,"FactionTaxLevel() < TaxLevel(""extortionate"")",Returns the tax level for the given tax key,Valid entry from 'key' field from taxes_levels table in Empire.mdb
conditions - queries you may call from campaign script,TradeNodeAvailableWorldwide,008A5090,Ed,,TradeNodeAvailableWorldwide(),Is there an unoccupied trade node (worldwide). Requires faction context,None
conditions - queries you may call from campaign script,TradePortsAtMaxLevel,008A52D0,Paul,,TradePortsAtMaxLevel(),Are all of the regions trade ports at the maximum level (and thus impossible to upgrade)?,none
conditions - queries you may call from campaign script,TradeRouteIsEnemy,008A53B0,Luke,,TradeRouteIsEnemy(),Returns whether the trade route attacked is used by an enemy of the local faction,None
conditions - queries you may call from campaign script,TradeRouteIsLocal,008A5510,Luke,,TradeRouteIsLocal(),Returns whether the trade route attacked is used by the local faction,None
conditions - queries you may call from campaign script,TradeRouteLimitReached,008A5670,Paul,,TradeRouteLimitReached(),Has the faction reached its limit of trade routes?,none
conditions - queries you may call from campaign script,TurnNumber,008A5770,Guy,,TurnNumber(),"Returns the number of the turn currently being taken, starting at 1",None
conditions - queries you may call from campaign script,TurnsSinceThreadLastAdvanced,00460AD0,Guy,,"TurnsSinceThreadLastAdvanced(""0001_Battle_Advice_Friendly_Fire_Thread"")",The number of turns since the advice thread was last advanced - 0 signifies that the thread is unadvanced or the number of turns cannot be established,Key from advice_threads table
conditions - queries you may call from campaign script,UnitCategory,008A57E0,Luke,,"UnitCategory(""naval_frigate"")",Is the unit of this category type?,none
conditions - queries you may call from campaign script,UnitClass,008A58C0,Luke,,"UnitClass(""cavalry_missile"")",Is the unit of this class?,none
conditions - queries you may call from campaign script,UnitCrushedInsurrection,008A59A0,Luke,,UnitCrushedInsurrection(),Did the given unit crush an insurrection in the last turn?,none
conditions - queries you may call from campaign script,UnitCultureType,008A59E0,Luke,,"UnitCultureType(""tribal"")",Is the unit of this culture type?,none
conditions - queries you may call from campaign script,UnitFoughtInBattle,008A5AC0,Luke,,UnitFoughtInBattle(),Did the unit fight in the last battle?,none
conditions - queries you may call from campaign script,UnitFoughtInMelee,008A5C20,Luke,,UnitFoughtInMelee(),Did the unit melee fight in the last battle?,none
conditions - queries you may call from campaign script,UnitInTheatre,008A5D70,Luke,,"UnitInTheatre(""-1133129049"")",Is this unit within the specified theatre?,none
conditions - queries you may call from campaign script,UnitOnContinent,008A5EC0,Luke,,"UnitOnContinent(""cont_africa_south"")",Is the given unit on the specified continent?,none
conditions - queries you may call from campaign script,UnitRouted,008A5F90,Luke,,UnitRouted(),Did the given unit rout?,none
conditions - queries you may call from campaign script,UnitSufferedCasualties,008A60E0,Luke,,UnitSufferedCasualties(),What percentage of casualties did this unit suffer?,none
conditions - queries you may call from campaign script,UnitTrait,008A62F0,Luke,,"UnitTrait(""U_Infected_Dysentry"") > 2",Returns the value of the specified trait (0 if not present),Trait name
conditions - queries you may call from campaign script,UnitType,008A6400,Ed,,"UnitType(""euro_line_infantry"")",Is the unit's unit record key equal to the parameter?,The unit key from the units table
conditions - queries you may call from campaign script,UnitWonBattle,008A64C0,Luke,,UnitWonBattle(),Is the unit part of the winning alliance in a battle?,None
